phrase_id,language,text,noise_level,is_distress,confidence_label,detected_entities
DP000076,ko,누군가 저를 따라오고 있습니다,0.01,1,0.8,locations=[];threats=[]
DP000077,de,Jemand folgt mir,0.17,1,0.98,locations=[];threats=[]
DP000078,si,දිනන ලද ගෙවීමකින් උදව් ඕනා,0.28,1,0.88,locations=[];threats=[]
DP000079,zh,有人跟踪我,0.25,1,0.82,locations=[];threats=[]
DP000080,en,Someone is following me,0.21,1,0.81,locations=[];threats=['follow']
DP000081,ar,ساعدني من فضلك أنا في خطر,0.16,1,0.92,locations=[];threats=[]
DP000082,en,I am scared and lost please assist,0.05,1,0.84,locations=[];threats=[]
DP000083,ta,தொல்லை கொடுத்தார்கள் கடற்கரையில்,0.04,1,0.99,locations=[];threats=[]
DP000084,si,දිනන ලද ගෙවීමකින් උදව් ඕනා,0.28,1,0.88,locations=[];threats=[]
DP000085,en,Emergency I need help immediately,0.2,1,0.88,locations=[];threats=['emergency']
DP000086,en,I am scared and lost please assist,0.05,1,0.84,locations=[];threats=[]
DP000087,en,Visited the temple in Kandy,0.0,0,0.85,locations=[];threats=[]
DP000088,ta,உதவுங்கள் என்னை யாரோ பின்தொடர்கிறார்கள்,0.41,1,0.77,locations=[];threats=[]
DP000089,si,දිනන ලද ගෙවීමකින් උදව් ඕනා,0.28,1,0.88,locations=[];threats=[]
DP000090,ta,உணவகத்தில் சாப்பிட்டேன்,0.03,0,0.87,locations=[];threats=[]
DP000091,si,දිනන ලද ගෙවීමකින් උදව් ඕනා,0.28,1,0.88,locations=[];threats=[]
DP000092,en,Enjoyed a great meal at a local restaurant,0.07,0,0.82,locations=[];threats=[]
DP000093,en,Emergency I need help immediately,0.2,1,0.88,locations=[];threats=['emergency']
DP000094,en,The beach in Mirissa is beautiful today,0.09,0,0.83,locations=[];threats=[]
DP000095,en,The beach in Mirissa is beautiful today,0.09,0,0.83,locations=[];threats=[]
DP000096,es,Alguien me está siguiendo,0.06,1,0.89,locations=[];threats=[]
DP000097,zh,有人跟踪我,0.25,1,0.82,locations=[];threats=[]
DP000098,en,Checking in to my hotel now,0.17,0,0.96,locations=[];threats=[]
DP000099,si,මිතුරා අසනීප ඇම්බියුලන්ස් කතා කරන්න,0.2,1,0.76,locations=[];threats=[]
DP000100,ta,நண்பர் மயக்கமடைந்துள்ளார் ஆம்புலன்ஸ் அழைக்கவும்,0.3,1,0.89,locations=[];threats=[]
DP000101,en,My friend is unconscious call ambulance,0.17,1,0.9,locations=[];threats=[]
DP000102,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000103,en,Enjoyed a great meal at a local restaurant,0.07,0,0.82,locations=[];threats=[]
DP000104,ko,누군가 저를 따라오고 있습니다,0.01,1,0.8,locations=[];threats=[]
DP000105,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000106,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000107,si,මාව කොල්ල කෑවා පොලිසියට කියන්න,0.01,1,0.78,locations=[];threats=[]
DP000108,en,My friend is unconscious call ambulance,0.17,1,0.9,locations=[];threats=[]
DP000109,si,උදව් කරන්න මට භයනක් දෙයක් වෙනවා,0.02,1,0.78,locations=[];threats=[]
DP000110,zh,有人跟踪我,0.25,1,0.82,locations=[];threats=[]
DP000111,ta,உதவுங்கள் என்னை யாரோ பின்தொடர்கிறார்கள்,0.41,1,0.77,locations=[];threats=[]
DP000112,ko,누군가 저를 따라오고 있습니다,0.01,1,0.8,locations=[];threats=[]
DP000113,ar,شخص ما يتبعني,0.09,1,0.86,locations=[];threats=[]
DP000114,ar,شخص ما يتبعني,0.09,1,0.86,locations=[];threats=[]
DP000115,si,මම බිය වෙලා ඉන්නවා,0.05,1,0.89,locations=[];threats=[]
DP000116,si,උදව් කරන්න මට භයනක් දෙයක් වෙනවා,0.02,1,0.78,locations=[];threats=[]
DP000117,en,Emergency I need help immediately,0.2,1,0.88,locations=[];threats=['emergency']
DP000118,si,මම බිය වෙලා ඉන්නවා,0.05,1,0.89,locations=[];threats=[]
DP000119,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000120,ar,شخص ما يتبعني,0.09,1,0.86,locations=[];threats=[]
DP000121,si,දිනන ලද ගෙවීමකින් උදව් ඕනා,0.28,1,0.88,locations=[];threats=[]
DP000122,si,උදව් කරන්න මට භයනක් දෙයක් වෙනවා,0.02,1,0.78,locations=[];threats=[]
DP000123,en,Stolen passport need embassy help,0.44,1,0.97,locations=[];threats=['stolen']
DP000124,ta,உணவகத்தில் சாப்பிட்டேன்,0.03,0,0.87,locations=[];threats=[]
DP000125,es,Alguien me está siguiendo,0.06,1,0.89,locations=[];threats=[]
DP000126,en,They harassed me near the beach,0.18,1,0.99,locations=[];threats=['harass']
DP000127,zh,有人跟踪我,0.25,1,0.82,locations=[];threats=[]
DP000128,en,Help me please I am in danger,0.1,1,0.77,locations=[];threats=['danger']
DP000129,ta,உதவுங்கள் என்னை யாரோ பின்தொடர்கிறார்கள்,0.41,1,0.77,locations=[];threats=[]
DP000130,ar,شخص ما يتبعني,0.09,1,0.86,locations=[];threats=[]
DP000131,si,මම බිය වෙලා ඉන්නවා,0.05,1,0.89,locations=[];threats=[]
DP000132,en,I am scared and lost please assist,0.05,1,0.84,locations=[];threats=[]
DP000133,en,Enjoyed a great meal at a local restaurant,0.07,0,0.82,locations=[];threats=[]
DP000134,en,Drunk driver almost hit me,0.16,1,0.75,locations=[];threats=[]
DP000135,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000136,si,මාව කොල්ල කෑවා පොලිසියට කියන්න,0.01,1,0.78,locations=[];threats=[]
DP000137,en,I am scared and lost please assist,0.05,1,0.84,locations=[];threats=[]
DP000138,en,Drunk driver almost hit me,0.16,1,0.75,locations=[];threats=[]
DP000139,si,මම බිය වෙලා ඉන්නවා,0.05,1,0.89,locations=[];threats=[]
DP000140,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000141,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000142,zh,救命我有危险,0.31,1,0.89,locations=[];threats=[]
DP000143,en,Drunk driver almost hit me,0.16,1,0.75,locations=[];threats=[]
DP000144,en,Emergency I need help immediately,0.2,1,0.88,locations=[];threats=['emergency']
DP000145,en,Visited the temple in Kandy,0.0,0,0.85,locations=[];threats=[]
DP000146,en,The beach in Mirissa is beautiful today,0.09,0,0.83,locations=[];threats=[]
DP000147,si,මම බිය වෙලා ඉන්නවා,0.05,1,0.89,locations=[];threats=[]
DP000148,si,මිතුරා අසනීප ඇම්බියුලන්ස් කතා කරන්න,0.2,1,0.76,locations=[];threats=[]
DP000149,en,Enjoyed a great meal at a local restaurant,0.07,0,0.82,locations=[];threats=[]
DP000150,ar,شخص ما يتبعني,0.09,1,0.86,locations=[];threats=[]
DP000151,ko,누군가 저를 따라오고 있습니다,0.01,1,0.8,locations=[];threats=[]
DP000152,si,හදිසිය — දැනම සහාය අවශ්‍යයි,0.3,1,0.84,locations=[];threats=[]
DP000153,en,Emergency I need help immediately,0.2,1,0.88,locations=[];threats=['emergency']
DP000154,si,උදව් කරන්න මට භයනක් දෙයක් වෙනවා,0.02,1,0.78,locations=[];threats=[]
DP000155,en,Enjoyed a great meal at a local restaurant,0.07,0,0.82,locations=[];threats=[]
DP000156,si,මාව කොල්ල කෑවා පොලිසියට කියන්න,0.01,1,0.78,locations=[];threats=[]
DP000157,si,මම බිය වෙලා ඉන්නවා,0.05,1,0.89,locations=[];threats=[]
DP000158,es,Alguien me está siguiendo,0.06,1,0.89,locations=[];threats=[]
DP000159,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000160,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000161,zh,救命我有危险,0.31,1,0.89,locations=[];threats=[]
DP000162,si,උදව් කරන්න මට භයනක් දෙයක් වෙනවා,0.02,1,0.78,locations=[];threats=[]
DP000163,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000164,si,මත් ධාවකයෙකු මා ඉදිරිපිට ගිහින්,0.44,1,0.98,locations=[];threats=[]
DP000165,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000166,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000167,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000168,si,මාව හිරිහැරයට ලක් කළා,0.08,1,0.99,locations=[];threats=[]
DP000169,ta,கொள்ளை அடிக்கப்பட்டேன் போலீஸ் அழைக்கவும்,0.32,1,0.84,locations=[];threats=[]
DP000170,ta,உதவுங்கள் என்னை யாரோ பின்தொடர்கிறார்கள்,0.41,1,0.77,locations=[];threats=[]
DP000171,ar,ساعدني من فضلك أنا في خطر,0.16,1,0.92,locations=[];threats=[]
DP000172,si,මාව කොල්ල කෑවා පොලිසියට කියන්න,0.01,1,0.78,locations=[];threats=[]
DP000173,ko,누군가 저를 따라오고 있습니다,0.01,1,0.8,locations=[];threats=[]
DP000174,si,මාව කොල්ල කෑවා පොලිසියට කියන්න,0.01,1,0.78,locations=[];threats=[]
DP000175,ko,누군가 저를 따라오고 있습니다,0.01,1,0.8,locations=[];threats=[]
DP000176,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000177,zh,有人跟踪我,0.25,1,0.82,locations=[];threats=[]
DP000178,zh,救命我有危险,0.31,1,0.89,locations=[];threats=[]
DP000179,ta,நண்பர் மயக்கமடைந்துள்ளார் ஆம்புலன்ஸ் அழைக்கவும்,0.3,1,0.89,locations=[];threats=[]
DP000180,si,දේශීය අවන්හලක හොඳ කෑමක් ගත්තා,0.12,0,0.94,locations=[];threats=[]
DP000181,en,Emergency I need help immediately,0.2,1,0.88,locations=[];threats=['emergency']
DP000182,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000183,en,The beach in Mirissa is beautiful today,0.09,0,0.83,locations=[];threats=[]
DP000184,en,I am scared and lost please assist,0.05,1,0.84,locations=[];threats=[]
DP000185,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000186,ta,உதவுங்கள் என்னை யாரோ பின்தொடர்கிறார்கள்,0.41,1,0.77,locations=[];threats=[]
DP000187,en,Help me please I am in danger,0.1,1,0.77,locations=[];threats=['danger']
DP000188,en,I feel unsafe send help,0.03,1,0.95,locations=[];threats=['unsafe']
DP000189,en,I feel unsafe send help,0.03,1,0.95,locations=[];threats=['unsafe']
DP000190,en,Drunk driver almost hit me,0.16,1,0.75,locations=[];threats=[]
DP000191,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000192,ko,누군가 저를 따라오고 있습니다,0.01,1,0.8,locations=[];threats=[]
DP000193,si,උදව් කරන්න මට භයනක් දෙයක් වෙනවා,0.02,1,0.78,locations=[];threats=[]
DP000194,si,මාව කොල්ල කෑවා පොලිසියට කියන්න,0.01,1,0.78,locations=[];threats=[]
DP000195,ja,助けてください危険です,0.02,1,0.78,locations=[];threats=[]
DP000196,ta,இன்று கடற்கரை மிகவும் அழகாக உள்ளது,0.13,0,0.98,locations=[];threats=[]
DP000197,ta,பயமாக இருக்கிறது,0.44,1,0.99,locations=[];threats=[]
DP000198,en,I feel unsafe send help,0.03,1,0.95,locations=[];threats=['unsafe']
DP000199,ta,இன்று கடற்கரை மிகவும் அழகாக உள்ளது,0.13,0,0.98,locations=[];threats=[]
DP000200,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000201,fr,Aidez-moi s'il vous plaît je suis en danger,0.33,1,0.92,locations=[];threats=['danger']
DP000202,si,මිතුරා අසනීප ඇම්බියුලන්ස් කතා කරන්න,0.2,1,0.76,locations=[];threats=[]
DP000203,en,Help me please I am in danger,0.1,1,0.77,locations=[];threats=['danger']
DP000204,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000205,si,දිනන ලද ගෙවීමකින් උදව් ඕනා,0.28,1,0.88,locations=[];threats=[]
DP000206,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000207,en,Help me please I am in danger,0.1,1,0.77,locations=[];threats=['danger']
DP000208,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000209,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000210,ko,누군가 저를 따라오고 있습니다,0.01,1,0.8,locations=[];threats=[]
DP000211,si,කෙනෙක් මාව අනුගමනය කරනවා,0.19,1,0.78,locations=[];threats=[]
DP000212,en,I feel unsafe send help,0.03,1,0.95,locations=[];threats=['unsafe']
DP000213,en,The beach in Mirissa is beautiful today,0.09,0,0.83,locations=[];threats=[]
DP000214,en,I feel unsafe send help,0.03,1,0.95,locations=[];threats=['unsafe']
DP000215,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000216,si,දේශීය අවන්හලක හොඳ කෑමක් ගත්තා,0.12,0,0.94,locations=[];threats=[]
DP000217,en,I am scared and lost please assist,0.05,1,0.84,locations=[];threats=[]
DP000218,en,I feel unsafe send help,0.03,1,0.95,locations=[];threats=['unsafe']
DP000219,en,The beach in Mirissa is beautiful today,0.09,0,0.83,locations=[];threats=[]
DP000220,si,මත් ධාවකයෙකු මා ඉදිරිපිට ගිහින්,0.44,1,0.98,locations=[];threats=[]
DP000221,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000222,si,මම බිය වෙලා ඉන්නවා,0.05,1,0.89,locations=[];threats=[]
DP000223,es,Ayúdame por favor estoy en peligro,0.47,1,0.98,locations=[];threats=[]
DP000224,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000225,en,Enjoyed a great meal at a local restaurant,0.07,0,0.82,locations=[];threats=[]
DP000226,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000227,si,දේශීය අවන්හලක හොඳ කෑමක් ගත්තා,0.12,0,0.94,locations=[];threats=[]
DP000228,ta,இன்று கடற்கரை மிகவும் அழகாக உள்ளது,0.13,0,0.98,locations=[];threats=[]
DP000229,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000230,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000231,en,I am scared and lost please assist,0.05,1,0.84,locations=[];threats=[]
DP000232,en,My friend is unconscious call ambulance,0.17,1,0.9,locations=[];threats=[]
DP000233,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000234,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000235,es,Ayúdame por favor estoy en peligro,0.47,1,0.98,locations=[];threats=[]
DP000236,si,අද මිරිස්ස වෙරළ ඉතාම ලස්සනයි,0.04,0,0.93,locations=[];threats=[]
DP000237,en,The beach in Mirissa is beautiful today,0.09,0,0.83,locations=[];threats=[]
DP000238,ko,누군가 저를 따라오고 있습니다,0.01,1,0.8,locations=[];threats=[]
DP000239,si,මම බිය වෙලා ඉන්නවා,0.05,1,0.89,locations=[];threats=[]
DP000240,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000241,ta,உதவுங்கள் என்னை யாரோ பின்தொடர்கிறார்கள்,0.41,1,0.77,locations=[];threats=[]
DP000242,ta,பாதுகாப்பற்று உணர்கிறேன்,0.07,1,0.82,locations=[];threats=[]
DP000243,si,මාව හිරිහැරයට ලක් කළා,0.08,1,0.99,locations=[];threats=[]
DP000244,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000245,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000246,ko,누군가 저를 따라오고 있습니다,0.01,1,0.8,locations=[];threats=[]
DP000247,de,Hilfe bitte ich bin in Gefahr,0.4,1,0.98,locations=[];threats=[]
DP000248,en,I feel unsafe send help,0.03,1,0.95,locations=[];threats=['unsafe']
DP000249,zh,救命我有危险,0.31,1,0.89,locations=[];threats=[]
DP000250,si,මම බිය වෙලා ඉන්නවා,0.05,1,0.89,locations=[];threats=[]
DP000251,en,I feel unsafe send help,0.03,1,0.95,locations=[];threats=['unsafe']
DP000252,en,I feel unsafe send help,0.03,1,0.95,locations=[];threats=['unsafe']
DP000253,en,I feel unsafe send help,0.03,1,0.95,locations=[];threats=['unsafe']
DP000254,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000255,si,මාව කොල්ල කෑවා පොලිසියට කියන්න,0.01,1,0.78,locations=[];threats=[]
DP000256,en,Help me please I am in danger,0.1,1,0.77,locations=[];threats=['danger']
DP000257,en,I am scared and lost please assist,0.05,1,0.84,locations=[];threats=[]
DP000258,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000259,en,Visited the temple in Kandy,0.0,0,0.85,locations=[];threats=[]
DP000260,ta,உதவுங்கள் என்னை யாரோ பின்தொடர்கிறார்கள்,0.41,1,0.77,locations=[];threats=[]
DP000261,en,My friend is unconscious call ambulance,0.17,1,0.9,locations=[];threats=[]
DP000262,zh,有人跟踪我,0.25,1,0.82,locations=[];threats=[]
DP000263,en,I am scared and lost please assist,0.05,1,0.84,locations=[];threats=[]
DP000264,en,Stolen passport need embassy help,0.44,1,0.97,locations=[];threats=['stolen']
DP000265,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000266,si,මිතුරා අසනීප ඇම්බියුලන්ස් කතා කරන්න,0.2,1,0.76,locations=[];threats=[]
DP000267,si,මාව කොල්ල කෑවා පොලිසියට කියන්න,0.01,1,0.78,locations=[];threats=[]
DP000268,en,I feel unsafe send help,0.03,1,0.95,locations=[];threats=['unsafe']
DP000269,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000270,si,මම බිය වෙලා ඉන්නවා,0.05,1,0.89,locations=[];threats=[]
DP000271,en,Visited the temple in Kandy,0.0,0,0.85,locations=[];threats=[]
DP000272,ko,누군가 저를 따라오고 있습니다,0.01,1,0.8,locations=[];threats=[]
DP000273,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000274,en,Help me please I am in danger,0.1,1,0.77,locations=[];threats=['danger']
DP000275,en,I feel unsafe send help,0.03,1,0.95,locations=[];threats=['unsafe']
DP000276,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000277,zh,有人跟踪我,0.25,1,0.82,locations=[];threats=[]
DP000278,en,Help me please I am in danger,0.1,1,0.77,locations=[];threats=['danger']
DP000279,ko,누군가 저를 따라오고 있습니다,0.01,1,0.8,locations=[];threats=[]
DP000280,en,Enjoyed a great meal at a local restaurant,0.07,0,0.82,locations=[];threats=[]
DP000281,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000282,si,මාව කොල්ල කෑවා පොලිසියට කියන්න,0.01,1,0.78,locations=[];threats=[]
DP000283,ta,உதவுங்கள் என்னை யாரோ பின்தொடர்கிறார்கள்,0.41,1,0.77,locations=[];threats=[]
DP000284,en,They harassed me near the beach,0.18,1,0.99,locations=[];threats=['harass']
DP000285,en,Checking in to my hotel now,0.17,0,0.96,locations=[];threats=[]
DP000286,ar,ساعدني من فضلك أنا في خطر,0.16,1,0.92,locations=[];threats=[]
DP000287,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000288,en,Emergency I need help immediately,0.2,1,0.88,locations=[];threats=['emergency']
DP000289,es,Ayúdame por favor estoy en peligro,0.47,1,0.98,locations=[];threats=[]
DP000290,en,Stolen passport need embassy help,0.44,1,0.97,locations=[];threats=['stolen']
DP000291,ta,கொள்ளை அடிக்கப்பட்டேன் போலீஸ் அழைக்கவும்,0.32,1,0.84,locations=[];threats=[]
DP000292,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000293,si,මාව හිරිහැරයට ලක් කළා,0.08,1,0.99,locations=[];threats=[]
DP000294,ar,ساعدني من فضلك أنا في خطر,0.16,1,0.92,locations=[];threats=[]
DP000295,zh,救命我有危险,0.31,1,0.89,locations=[];threats=[]
DP000296,zh,有人跟踪我,0.25,1,0.82,locations=[];threats=[]
DP000297,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000298,en,Emergency I need help immediately,0.2,1,0.88,locations=[];threats=['emergency']
DP000299,zh,有人跟踪我,0.25,1,0.82,locations=[];threats=[]
DP000300,zh,救命我有危险,0.31,1,0.89,locations=[];threats=[]
DP000301,si,මාව කොල්ල කෑවා පොලිසියට කියන්න,0.01,1,0.78,locations=[];threats=[]
DP000302,en,Checking in to my hotel now,0.17,0,0.96,locations=[];threats=[]
DP000303,en,The beach in Mirissa is beautiful today,0.09,0,0.83,locations=[];threats=[]
DP000304,si,දිනන ලද ගෙවීමකින් උදව් ඕනා,0.28,1,0.88,locations=[];threats=[]
